,timestamp,date,day number,weekends,activity number,segment,activity count
387,1571173200,2019-10-16 03:00:00,3,1,0,0,0
388,1571176800,2019-10-16 04:00:00,3,1,0,0,0
389,1571180400,2019-10-16 05:00:00,3,1,0,0,0
390,1571184000,2019-10-16 06:00:00,3,1,0,1,0
391,1571187600,2019-10-16 07:00:00,3,1,0,1,0
392,1571191200,2019-10-16 08:00:00,3,1,0,1,0
393,1571194800,2019-10-16 09:00:00,3,1,0,1,0
394,1571198400,2019-10-16 10:00:00,3,1,0,1,0
395,1571202000,2019-10-16 11:00:00,3,1,0,1,0
396,1571205600,2019-10-16 12:00:00,3,1,0,2,0
397,1571209200,2019-10-16 13:00:00,3,1,0,2,0
398,1571212800,2019-10-16 14:00:00,3,1,0,2,0
399,1571216400,2019-10-16 15:00:00,3,1,0,2,0
400,1571220000,2019-10-16 16:00:00,3,1,0,2,0
401,1571223600,2019-10-16 17:00:00,3,1,0,2,0
402,1571227200,2019-10-16 18:00:00,3,1,0,3,0
403,1571230800,2019-10-16 19:00:00,3,1,0,3,0
404,1571234400,2019-10-16 20:00:00,3,1,0,3,0
405,1571238000,2019-10-16 21:00:00,3,1,0,3,0
406,1571241600,2019-10-16 22:00:00,3,1,0,3,0
407,1571245200,2019-10-16 23:00:00,3,1,0,3,0
408,1571162400,2019-10-16 00:00:00,3,1,0,0,0
409,1571166000,2019-10-16 01:00:00,3,1,0,0,0
410,1571169600,2019-10-16 02:00:00,3,1,0,0,0
411,1571173200,2019-10-16 03:00:00,3,1,0,0,0
412,1571176800,2019-10-16 04:00:00,3,1,0,0,0
413,1571180400,2019-10-16 05:00:00,3,1,0,0,0
414,1571184000,2019-10-16 06:00:00,3,1,0,1,0
415,1571187600,2019-10-16 07:00:00,3,1,0,1,0
416,1571191200,2019-10-16 08:00:00,3,1,0,1,0
417,1571194800,2019-10-16 09:00:00,3,1,0,1,0
418,1571198400,2019-10-16 10:00:00,3,1,0,1,0
419,1571202000,2019-10-16 11:00:00,3,1,0,1,0
420,1571205600,2019-10-16 12:00:00,3,1,0,2,0
421,1571209200,2019-10-16 13:00:00,3,1,0,2,0
422,1571212800,2019-10-16 14:00:00,3,1,0,2,0
423,1571216400,2019-10-16 15:00:00,3,1,0,2,0
424,1571220000,2019-10-16 16:00:00,3,1,0,2,0
425,1571223600,2019-10-16 17:00:00,3,1,0,2,0
426,1571227200,2019-10-16 18:00:00,3,1,0,3,0
427,1571230800,2019-10-16 19:00:00,3,1,0,3,0
428,1571234400,2019-10-16 20:00:00,3,1,0,3,0
429,1571238000,2019-10-16 21:00:00,3,1,0,3,872
430,1571241600,2019-10-16 22:00:00,3,1,0,3,0
431,1571245200,2019-10-16 23:00:00,3,1,0,3,0
432,1571162400,2019-10-16 00:00:00,3,1,0,0,0
433,1571166000,2019-10-16 01:00:00,3,1,0,0,0
434,1571169600,2019-10-16 02:00:00,3,1,0,0,0
435,1571173200,2019-10-16 03:00:00,3,1,0,0,0
